 TIME                    	GasUsage                 	heating_signal           	setpoint                 	Tin                      	occ                      	
 HOURS              	kJ/hr               	NAV                 	NAV                 	NAV                 	NAV                 	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+00	  +6.0000000000000000E+01	  +2.2000000000000000E+01	  +1.0000000000000000E+00	
  +1.6666666666666666E-01	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +6.0000000000000000E+01	  +2.0989737515922759E+01	  +1.0000000000000000E+00	
  +3.3333333333333331E-01	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +6.0000000000000000E+01	  +2.0039537396443063E+01	  +1.0000000000000000E+00	
  +5.0000000000000000E-01	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +6.0000000000000000E+01	  +2.0233515830632513E+01	  +1.0000000000000000E+00	
  +6.6666666666666663E-01	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.0463556661757220E+01	  +1.0000000000000000E+00	
  +8.3333333333333337E-01	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.0807033640930491E+01	  +1.0000000000000000E+00	
  +1.0000000000000000E+00	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.1036270188010061E+01	  +1.0000000000000000E+00	
  +1.1666666666666667E+00	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.1125409377719730E+01	  +1.0000000000000000E+00	
  +1.3333333333333333E+00	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.1360341103841275E+01	  +1.0000000000000000E+00	
  +1.5000000000000000E+00	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.1545099407156563E+01	  +1.0000000000000000E+00	
  +1.6666666666666667E+00	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.1679989824295085E+01	  +1.0000000000000000E+00	
  +1.8333333333333333E+00	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.1871729650303891E+01	  +1.0000000000000000E+00	
  +2.0000000000000000E+00	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.2486450716219231E+01	  +1.0000000000000000E+00	
  +2.1666666666666665E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2968439440791165E+01	  +1.0000000000000000E+00	
  +2.3333333333333335E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2880606435277592E+01	  +1.0000000000000000E+00	
  +2.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2756863098628777E+01	  +0.0000000000000000E+00	
  +2.6666666666666665E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2682918157559975E+01	  +0.0000000000000000E+00	
  +2.8333333333333335E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2642932402794326E+01	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.2952468832939577E+01	  +0.0000000000000000E+00	
  +3.1666666666666665E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3228779183687390E+01	  +0.0000000000000000E+00	
  +3.3333333333333335E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3168962340663903E+01	  +0.0000000000000000E+00	
  +3.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3152368434350883E+01	  +0.0000000000000000E+00	
  +3.6666666666666665E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3126119258271395E+01	  +0.0000000000000000E+00	
  +3.8333333333333335E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3089655211071442E+01	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3162984388058408E+01	  +0.0000000000000000E+00	
  +4.1666666666666670E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3243709522926245E+01	  +0.0000000000000000E+00	
  +4.3333333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000014E+01	  +2.3216077467757302E+01	  +0.0000000000000000E+00	
  +4.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9999999999999979E+01	  +2.3179235219238336E+01	  +0.0000000000000000E+00	
  +4.6666666666666670E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3142949272934956E+01	  +0.0000000000000000E+00	
  +4.8333333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.1000000000000000E+01	  +2.3111487936845293E+01	  +0.0000000000000000E+00	
  +5.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3094034540575667E+01	  +0.0000000000000000E+00	
  +5.1666666666666670E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000014E+01	  +2.3077852960335910E+01	  +0.0000000000000000E+00	
  +5.3333333333333330E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3042643554823158E+01	  +0.0000000000000000E+00	
  +5.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3015400086347629E+01	  +0.0000000000000000E+00	
